First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,Lead Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Appraised Value,Seller Score,Motivated Seller Flags,Year Built,Sq Ft,Bedrooms,Bathrooms,Source,Public Records URL
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000607363000000,,,30,Vacant / no homestead,1959,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000607363000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000679159000000,,,30,Vacant / no homestead,1955,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000679159000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000401431000000,,,30,Vacant / no homestead,1955,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000401431000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,14061550600120000,,,30,Vacant / no homestead,1980,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=14061550600120000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000414027200000,,,30,Vacant / no homestead,2013,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000414027200000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00C24510000000002,,,30,Vacant / no homestead,1997,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00C24510000000002
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000398153860000,,,30,Vacant / no homestead,1979,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000398153860000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000381706000000,,,30,Vacant / no homestead,1965,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000381706000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000270433000000,,,30,Vacant / no homestead,1920,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000270433000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,28239600030110000,,,30,Vacant / no homestead,1993,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=28239600030110000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,26383500210090000,,,30,Vacant / no homestead,1970,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=26383500210090000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,27169220030070000,,,30,Vacant / no homestead,2016,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=27169220030070000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,32408500130170000,,,30,Vacant / no homestead,1957,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=32408500130170000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,22137200060290000,,,30,Vacant / no homestead,1978,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=22137200060290000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,16042850010190000,,,30,Vacant / no homestead,1992,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=16042850010190000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,14120500010130000,,,30,Vacant / no homestead,1972,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=14120500010130000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,003250019111D0000,,,30,Vacant / no homestead,2019,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=003250019111D0000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,320870700A1R10000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=320870700A1R10000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,28183500100070000,,,30,Vacant / no homestead,1966,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=28183500100070000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,381112500G0090000,,,30,Vacant / no homestead,2022,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=381112500G0090000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,38216850550300000,,,30,Vacant / no homestead,1983,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=38216850550300000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,65118382510050103,,,30,Vacant / no homestead,0,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=65118382510050103
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,000141000A0120000,,,30,Vacant / no homestead,2011,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=000141000A0120000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000226879000000,,,30,Vacant / no homestead,1959,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000226879000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,65054253510030500,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=65054253510030500
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000605674000000,,,30,Vacant / no homestead,1953,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000605674000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000741604000000,,,30,Vacant / no homestead,1964,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000741604000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00C12000000000N58,,,30,Vacant / no homestead,1950,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00C12000000000N58
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,18005550020880000,,,30,Vacant / no homestead,1985,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=18005550020880000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,26074100220410000,,,30,Vacant / no homestead,1977,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=26074100220410000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,65098426010070100,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=65098426010070100
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,38117500050180000,,,30,Vacant / no homestead,1967,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=38117500050180000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000589414000000,,,30,Vacant / no homestead,1958,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000589414000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,26308700170260000,,,30,Vacant / no homestead,1976,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=26308700170260000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,500464400D0170000,,,30,Vacant / no homestead,2020,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=500464400D0170000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,321496900C0230000,,,30,Vacant / no homestead,1994,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=321496900C0230000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,38161570KK0010000,,,30,Vacant / no homestead,0,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=38161570KK0010000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,44013310010030000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=44013310010030000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99200121400124960,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99200121400124960
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99200324700279500,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99200324700279500
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99210826810000000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99210826810000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99900800000064050,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99900800000064050
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99983420000086900,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99983420000086900
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99260205820000000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99260205820000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99240829620000000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99240829620000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99130521890000000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99130521890000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99110801900000000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99110801900000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99171205100000000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99171205100000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99081215350000000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99081215350000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99200408300452700,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99200408300452700
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,22135100500160000,,,30,Vacant / no homestead,1980,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=22135100500160000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,160011300A0180000,,,30,Vacant / no homestead,0,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=160011300A0180000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,16006710090010000,,,30,Vacant / no homestead,1999,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=16006710090010000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,750615008700EST00,,,30,Vacant / no homestead,1979,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=750615008700EST00
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00626000S10070000,,,30,Vacant / no homestead,2006,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00626000S10070000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,44016420120070000,,,30,Vacant / no homestead,1999,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=44016420120070000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,26074100240070000,,,30,Vacant / no homestead,1977,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=26074100240070000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000813754000000,,,30,Vacant / no homestead,0,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000813754000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,005955000F0040000,,,30,Vacant / no homestead,1997,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=005955000F0040000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000642703000000,,,30,Vacant / no homestead,2004,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000642703000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000465595000000,,,30,Vacant / no homestead,1953,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000465595000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00788200010040000,,,30,Vacant / no homestead,1984,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00788200010040000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,329596100B0350000,,,30,Vacant / no homestead,2006,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=329596100B0350000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000498244000000,,,30,Vacant / no homestead,1966,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000498244000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000400675000000,,,30,Vacant / no homestead,2005,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000400675000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000598963000000,,,30,Vacant / no homestead,1958,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000598963000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,28154510070390000,,,30,Vacant / no homestead,1973,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=28154510070390000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000448975000000,,,30,Vacant / no homestead,1952,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000448975000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000899769340000,,,30,Vacant / no homestead,0,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000899769340000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,24032500140050000,,,30,Vacant / no homestead,1967,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=24032500140050000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000351475000000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000351475000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,42046600080020000,,,30,Vacant / no homestead,1977,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=42046600080020000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,30023500010030000,,,30,Vacant / no homestead,1968,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=30023500010030000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000427375000000,,,30,Vacant / no homestead,1946,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000427375000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000205252000000,,,30,Vacant / no homestead,1926,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000205252000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000143101000000,,,30,Vacant / no homestead,0,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000143101000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,26179430010100000,,,30,Vacant / no homestead,1997,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=26179430010100000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00C74550591600133,,,30,Vacant / no homestead,1967,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00C74550591600133
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,16032000060220000,,,30,Vacant / no homestead,1994,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=16032000060220000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000377083000000,,,30,Vacant / no homestead,1950,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000377083000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000256006000000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000256006000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,22101500010470000,,,30,Vacant / no homestead,1976,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=22101500010470000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,160498000A0370000,,,30,Vacant / no homestead,2008,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=160498000A0370000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,32038700010010000,,,30,Vacant / no homestead,1981,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=32038700010010000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99L22191900000000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99L22191900000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99P15135000000000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99P15135000000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,381615700A0230000,,,30,Vacant / no homestead,2025,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=381615700A0230000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,94050850080080000,,,30,Vacant / no homestead,0,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=94050850080080000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99151026450000000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99151026450000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99199929900043250,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99199929900043250
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,99872150000043900,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=99872150000043900
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,000585000Q01A0000,,,30,Vacant / no homestead,,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=000585000Q01A0000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,26237500080390000,,,30,Vacant / no homestead,1977,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=26237500080390000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,201011200D0270000,,,30,Vacant / no homestead,2005,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=201011200D0270000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,26508500020450000,,,30,Vacant / no homestead,1967,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=26508500020450000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000530932000000,,,30,Vacant / no homestead,2020,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000530932000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000286900000000,,,30,Vacant / no homestead,1959,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000286900000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,381108900D0020000,,,30,Vacant / no homestead,1999,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=381108900D0020000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00000276736000000,,,30,Vacant / no homestead,1925,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00000276736000000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,00624700050250000,,,30,Vacant / no homestead,2004,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=00624700050250000
,,,,TX,,,Dallas,TX,,Property Record,CAD,2026-04-13,447550000A0320000,,,30,Vacant / no homestead,2023,,,,Dallas CAD (dallascad.org),https://www.dallascad.org/AcctDetailRes.aspx?crypt=447550000A0320000
